Client_ID,Geographic_Zone,Average_Ticket
2,Ciudad de México,3364.79
3,Sur,1738.77
4,Sur,1409.69
5,Sur,1135.86
6,Sureste,1668.94
7,Zona Metropolitana de Monterrey,150.0
8,Ciudad de México,1411.24
9,Ciudad de México,1220.35
10,Ciudad de México,2891.08
11,Zona Metropolitana de Monterrey,1082.78
12,Zona Metropolitana de Guadalajara,663.61
13,Ciudad de México,2833.28
14,Zona Metropolitana de Guadalajara,593.15
15,Ciudad de México,1828.73
16,Zona Metropolitana de Guadalajara,519.2
17,Noroeste,1466.88
18,Zona Metropolitana de Monterrey,1849.21
19,Noroeste,1314.56
20,Zona Metropolitana de Guadalajara,2268.34
22,Ciudad de México,7307.3
24,Zona Metropolitana de Monterrey,1908.54
25,Noroeste,1152.39
26,Bajío,555.16
28,Noroeste,400.57
29,Zona Metropolitana de Guadalajara,681.73
30,Zona Metropolitana de Guadalajara,1735.76
31,Ciudad de México,3550.63
32,Zona Metropolitana de Monterrey,1556.72
33,Zona Metropolitana de Guadalajara,1806.9
34,Zona Metropolitana de Monterrey,761.37
35,Zona Metropolitana de Monterrey,1736.65
36,Zona Metropolitana de Monterrey,1737.67
37,Noroeste,2662.19
38,Sur,178.28
39,Sur,1161.02
40,Ciudad de México,2369.62
41,Sur,1586.92
42,Ciudad de México,3980.59
43,Zona Metropolitana de Monterrey,1242.68
44,Ciudad de México,2515.94
45,Zona Metropolitana de Monterrey,437.4
46,Zona Metropolitana de Guadalajara,1414.06
47,Sureste,735.86
48,Zona Metropolitana de Monterrey,929.18
49,Sureste,1281.32
50,Zona Metropolitana de Monterrey,217.07
51,Sur,408.57
52,Bajío,414.39
53,Zona Metropolitana de Monterrey,3783.23
54,Ciudad de México,715.65
55,Zona Metropolitana de Guadalajara,838.72
56,Ciudad de México,3021.37
57,Zona Metropolitana de Guadalajara,1499.86
58,Ciudad de México,1358.76
59,Ciudad de México,150.0
60,Ciudad de México,1740.75
61,Bajío,905.89
62,Sur,2063.3
63,Zona Metropolitana de Guadalajara,406.44
64,Sureste,851.0
66,Zona Metropolitana de Monterrey,532.74
67,Ciudad de México,2536.75
68,Zona Metropolitana de Guadalajara,836.11
69,Sur,940.4
70,Sureste,2272.96
71,Noroeste,738.26
72,Noroeste,1056.27
74,Sur,150.83
75,Ciudad de México,1712.59
76,Bajío,2590.24
77,Bajío,1667.55
78,Sur,2124.02
79,Sur,609.18
80,Ciudad de México,1841.8
81,Bajío,2964.69
82,Sur,585.03
84,Sur,993.59
85,Noroeste,665.07
86,Zona Metropolitana de Monterrey,885.8
87,Bajío,1898.52
88,Ciudad de México,2306.46
89,Zona Metropolitana de Monterrey,219.76
90,Sur,640.52
91,Ciudad de México,1718.27
92,Sureste,1626.96
93,Zona Metropolitana de Guadalajara,1599.97
94,Zona Metropolitana de Guadalajara,713.24
95,Zona Metropolitana de Guadalajara,832.37
96,Zona Metropolitana de Monterrey,1592.37
98,Zona Metropolitana de Monterrey,2028.65
99,Ciudad de México,768.98
100,Ciudad de México,2558.7
101,Zona Metropolitana de Monterrey,2680.99
102,Zona Metropolitana de Monterrey,839.06
103,Ciudad de México,1707.72
104,Zona Metropolitana de Monterrey,980.24
106,Zona Metropolitana de Guadalajara,2160.5
107,Sur,1324.5
109,Ciudad de México,2413.22
110,Zona Metropolitana de Monterrey,423.97
111,Zona Metropolitana de Monterrey,1166.95
112,Ciudad de México,884.08
113,Noroeste,719.13
114,Zona Metropolitana de Guadalajara,2081.43
115,Zona Metropolitana de Monterrey,1900.55
116,Ciudad de México,2264.99
117,Zona Metropolitana de Monterrey,664.28
118,Sur,689.03
119,Zona Metropolitana de Monterrey,630.52
120,Zona Metropolitana de Guadalajara,1409.2
121,Ciudad de México,2641.75
122,Zona Metropolitana de Monterrey,2042.07
123,Noroeste,597.94
124,Zona Metropolitana de Monterrey,1089.53
126,Ciudad de México,283.15
127,Zona Metropolitana de Guadalajara,1716.85
128,Ciudad de México,733.04
129,Zona Metropolitana de Guadalajara,689.99
130,Sur,1027.34
131,Bajío,2274.08
132,Zona Metropolitana de Guadalajara,1256.57
133,Zona Metropolitana de Guadalajara,1913.42
134,Zona Metropolitana de Monterrey,183.93
135,Ciudad de México,1767.92
136,Noroeste,1041.45
137,Zona Metropolitana de Monterrey,2049.19
138,Noroeste,970.43
139,Ciudad de México,1148.18
140,Bajío,150.0
141,Ciudad de México,349.36
142,Bajío,933.04
143,Ciudad de México,302.37
144,Zona Metropolitana de Guadalajara,915.12
145,Sur,1797.74
146,Ciudad de México,5231.7
147,Zona Metropolitana de Monterrey,150.0
148,Zona Metropolitana de Monterrey,906.66
149,Zona Metropolitana de Monterrey,3311.07
150,Noroeste,327.47
152,Zona Metropolitana de Monterrey,1343.84
153,Ciudad de México,1738.86
154,Bajío,282.65
155,Zona Metropolitana de Guadalajara,2000.27
156,Zona Metropolitana de Guadalajara,1037.07
157,Zona Metropolitana de Monterrey,1768.66
158,Ciudad de México,1187.99
159,Zona Metropolitana de Monterrey,682.79
160,Ciudad de México,150.0
161,Bajío,1579.67
162,Bajío,1045.35
163,Ciudad de México,4545.01
164,Noroeste,679.62
165,Ciudad de México,2867.73
166,Bajío,2166.48
167,Ciudad de México,861.82
168,Ciudad de México,2738.91
169,Bajío,2173.68
170,Bajío,1594.21
171,Sureste,2072.52
172,Zona Metropolitana de Monterrey,2475.74
173,Zona Metropolitana de Monterrey,2509.0
174,Zona Metropolitana de Monterrey,2037.11
175,Ciudad de México,2276.03
176,Zona Metropolitana de Guadalajara,2318.21
177,Sur,150.0
179,Zona Metropolitana de Guadalajara,1515.01
180,Ciudad de México,1294.23
181,Ciudad de México,1746.71
182,Bajío,1776.8
183,Zona Metropolitana de Guadalajara,223.77
184,Ciudad de México,289.54
185,Zona Metropolitana de Monterrey,505.2
186,Bajío,1485.84
187,Zona Metropolitana de Guadalajara,2309.32
188,Zona Metropolitana de Guadalajara,1813.03
189,Noroeste,350.17
190,Ciudad de México,2424.75
191,Bajío,1300.13
192,Zona Metropolitana de Monterrey,1082.12
193,Zona Metropolitana de Monterrey,3411.04
194,Sureste,593.99
196,Zona Metropolitana de Guadalajara,1334.88
197,Zona Metropolitana de Guadalajara,389.7
198,Ciudad de México,1265.21
199,Bajío,1784.05
200,Noroeste,646.83
201,Zona Metropolitana de Monterrey,163.56
202,Zona Metropolitana de Guadalajara,1239.8
203,Zona Metropolitana de Monterrey,814.39
204,Noroeste,517.82
206,Noroeste,937.9
207,Sur,322.87
208,Ciudad de México,2197.72
209,Sureste,150.0
211,Ciudad de México,282.57
212,Zona Metropolitana de Monterrey,1006.44
213,Zona Metropolitana de Monterrey,486.75
214,Zona Metropolitana de Guadalajara,484.71
215,Bajío,1500.98
216,Zona Metropolitana de Monterrey,3942.75
217,Ciudad de México,2796.75
218,Ciudad de México,2194.83
219,Bajío,2693.87
220,Sureste,2556.24
221,Zona Metropolitana de Monterrey,2398.35
222,Zona Metropolitana de Monterrey,2504.09
223,Sur,2447.85
224,Noroeste,1157.75
225,Bajío,1971.28
226,Ciudad de México,1507.33
227,Zona Metropolitana de Guadalajara,3195.41
228,Zona Metropolitana de Monterrey,1593.91
229,Ciudad de México,1052.67
230,Zona Metropolitana de Guadalajara,1073.27
231,Ciudad de México,863.45
232,Zona Metropolitana de Monterrey,1203.75
233,Ciudad de México,1715.3
234,Sur,2047.57
235,Ciudad de México,2293.36
236,Noroeste,2225.91
237,Ciudad de México,1855.66
238,Zona Metropolitana de Guadalajara,1780.34
239,Zona Metropolitana de Guadalajara,2169.15
240,Bajío,1010.87
241,Ciudad de México,1993.55
242,Ciudad de México,528.49
243,Ciudad de México,1870.98
244,Zona Metropolitana de Monterrey,3582.85
245,Ciudad de México,2536.74
246,Zona Metropolitana de Monterrey,297.31
247,Ciudad de México,768.39
248,Zona Metropolitana de Monterrey,1170.19
249,Ciudad de México,2437.77
251,Sureste,664.79
252,Noroeste,1869.96
253,Zona Metropolitana de Guadalajara,529.83
254,Bajío,1631.19
255,Sur,1505.79
256,Zona Metropolitana de Guadalajara,1536.41
257,Ciudad de México,1444.68
258,Bajío,1180.91
259,Ciudad de México,478.44
260,Ciudad de México,1537.81
261,Ciudad de México,867.44
262,Zona Metropolitana de Monterrey,2623.16
263,Ciudad de México,1478.36
264,Zona Metropolitana de Guadalajara,750.43
265,Noroeste,150.0
266,Ciudad de México,1033.68
267,Ciudad de México,1564.75
268,Bajío,794.33
269,Sureste,1002.77
271,Ciudad de México,2239.22
272,Zona Metropolitana de Monterrey,2046.85
273,Noroeste,1853.11
274,Zona Metropolitana de Guadalajara,1684.98
275,Ciudad de México,1980.11
