Date,Product_id,Region,Units_expected,Stock,Percentage,Units_sold,Sales_amount,Sales_amount_manual,Clientes_unicos,N_transacciones,Product_name,Category,Subcategory,Static_price,Stock_turnover,Sell_through_pct,Days_inventory,Revenue_per_Unit_of_stock,Overstock_critico,Priority_action,Sobrestock crítico por MES,Excedente
2025-01-01,1,bajío,1354,2060,152.14,137,4067.02,4816.92,72,72,Tops Product 1,Fitness Wear,Tops,35.16,0.066504854,10.11816839,451.0948905,1.974281553,TRUE,URGENTE 70% OFF,1877.432,0
2025-02-01,1,bajío,1693,1844,108.92,163,4840.79,5731.08,88,88,Tops Product 1,Fitness Wear,Tops,35.16,0.088394794,9.627879504,339.3865031,2.625157267,TRUE,URGENTE 70% OFF,1713.296,1713.296
2025-03-01,1,bajío,1531,1906,124.49,152,4559,5344.32,87,88,Tops Product 1,Fitness Wear,Tops,35.16,0.079748164,9.928151535,376.1842105,2.391920252,TRUE,URGENTE 70% OFF,1756.612,43.316
2025-04-01,1,bajío,1499,1632,108.87,161,4894.82,5660.76,75,75,Tops Product 1,Fitness Wear,Tops,35.16,0.098651961,10.74049366,304.0993789,2.999276961,TRUE,URGENTE 70% OFF,1501.356,1458.04
2025-05-01,1,bajío,1436,1812,126.18,177,5297.06,6223.32,87,88,Tops Product 1,Fitness Wear,Tops,35.16,0.097682119,12.32590529,307.1186441,2.923322296,TRUE,URGENTE 70% OFF,1660.584,202.544
2025-06-01,1,bajío,1049,1100,104.86,136,4045.46,4781.76,64,65,Tops Product 1,Fitness Wear,Tops,35.16,0.123636364,12.96472831,242.6470588,3.677690909,TRUE,URGENTE 70% OFF,974.168,771.624
2025-07-01,1,bajío,1282,1230,95.94,143,4347.78,5027.88,72,72,Tops Product 1,Fitness Wear,Tops,35.16,0.116260163,11.15444618,258.041958,3.534780488,TRUE,URGENTE 70% OFF,1114.872,343.248
2025-08-01,1,bajío,1303,1453,111.51,177,5315.11,6223.32,76,77,Tops Product 1,Fitness Wear,Tops,35.16,0.12181693,13.58403684,246.2711864,3.658024776,TRUE,URGENTE 70% OFF,1319.188,975.94
2025-09-01,1,bajío,1325,1684,127.09,102,3054.24,3586.32,56,56,Tops Product 1,Fitness Wear,Tops,35.16,0.060570071,7.698113208,495.2941176,1.81368171,TRUE,URGENTE 70% OFF,1531.492,555.552
2025-10-01,1,bajío,1443,1651,114.41,147,4473.4,5168.52,73,74,Tops Product 1,Fitness Wear,Tops,35.16,0.089036947,10.18711019,336.9387755,2.709509388,TRUE,URGENTE 70% OFF,1513.708,958.156
2025-11-01,1,bajío,1434,1819,126.85,201,6010.43,7067.16,98,98,Tops Product 1,Fitness Wear,Tops,35.16,0.110500275,14.0167364,271.4925373,3.304249588,TRUE,URGENTE 70% OFF,1666.78,708.624
2025-12-01,1,bajío,1409,1762,125.05,209,6355.33,7348.44,96,96,Tops Product 1,Fitness Wear,Tops,35.16,0.11861521,14.83321505,252.9186603,3.606884222,TRUE,URGENTE 70% OFF,1611.94,903.316
2025-01-01,10,bajío,1064,1273,119.64,107,4781.74,5538.32,60,60,Tops Product 10,Fitness Wear,Tops,51.76,0.084053417,10.05639098,356.9158879,3.756276512,TRUE,URGENTE 70% OFF,1129.432,0
2025-02-01,10,bajío,840,918,109.29,77,3369.09,3985.52,37,38,Tops Product 10,Fitness Wear,Tops,51.76,0.083877996,9.166666667,357.6623377,3.67003268,TRUE,URGENTE 70% OFF,786.852,786.852
2025-03-01,10,bajío,888,961,108.22,125,5433.05,6470,63,64,Tops Product 10,Fitness Wear,Tops,51.76,0.130072841,14.07657658,230.64,5.653537981,TRUE,URGENTE 70% OFF,831.136,44.284
2025-04-01,10,bajío,904,1002,110.84,108,4772.41,5590.08,56,56,Tops Product 10,Fitness Wear,Tops,51.76,0.107784431,11.94690265,278.3333333,4.762884232,TRUE,URGENTE 70% OFF,868.992,824.708
2025-05-01,10,bajío,709,787,111,76,3342.83,3933.76,37,37,Tops Product 10,Fitness Wear,Tops,51.76,0.09656925,10.71932299,310.6578947,4.247560356,TRUE,URGENTE 70% OFF,653.8,-170.908
2025-06-01,10,bajío,921,931,101.09,106,4662.58,5486.56,48,48,Tops Product 10,Fitness Wear,Tops,51.76,0.113856069,11.5092291,263.490566,5.008141783,TRUE,URGENTE 70% OFF,809.692,980.6
2025-07-01,10,bajío,1034,1022,98.84,133,5768.4,6884.08,67,68,Tops Product 10,Fitness Wear,Tops,51.76,0.130136986,12.86266925,230.5263158,5.644227006,TRUE,URGENTE 70% OFF,903.392,-77.208
2025-08-01,10,bajío,1032,1329,128.78,121,5393.43,6262.96,62,62,Tops Product 10,Fitness Wear,Tops,51.76,0.091045899,11.7248062,329.5041322,4.058261851,TRUE,URGENTE 70% OFF,1174.464,1251.672
2025-09-01,10,bajío,1314,1783,135.69,139,6125.21,7194.64,69,69,Tops Product 10,Fitness Wear,Tops,51.76,0.077958497,10.57838661,384.8201439,3.435339316,TRUE,URGENTE 70% OFF,1620.172,368.5
2025-10-01,10,bajío,1024,1371,133.89,137,5988.43,7091.12,63,63,Tops Product 10,Fitness Wear,Tops,51.76,0.099927061,13.37890625,300.2189781,4.367928519,TRUE,URGENTE 70% OFF,1210.332,841.832
2025-11-01,10,bajío,1090,1162,106.61,168,7506.7,8695.68,76,76,Tops Product 10,Fitness Wear,Tops,51.76,0.144578313,15.41284404,207.5,6.460154905,TRUE,URGENTE 70% OFF,1034.068,192.236
2025-12-01,10,bajío,1010,1298,128.51,191,8524.6,9886.16,84,84,Tops Product 10,Fitness Wear,Tops,51.76,0.147149461,18.91089109,203.8743455,6.567488444,TRUE,URGENTE 70% OFF,1143.788,951.552
2025-01-01,100,bajío,1304,1419,108.82,121,8966.94,10358.81,69,69,Sneakers Product 100,Footwear,Sneakers,85.61,0.085271318,9.279141104,351.8181818,6.319196617,TRUE,URGENTE 70% OFF,1288.416,0
2025-02-01,100,bajío,1142,1220,106.83,80,5843.9,6848.8,49,50,Sneakers Product 100,Footwear,Sneakers,85.61,0.06557377,7.00525394,457.5,4.790081967,TRUE,URGENTE 70% OFF,1091.804,1091.804
2025-03-01,100,bajío,1394,1381,99.07,124,9061.49,10615.64,81,83,Sneakers Product 100,Footwear,Sneakers,85.61,0.089790007,8.895265423,334.1129032,6.561542361,TRUE,URGENTE 70% OFF,1262.116,170.312
2025-04-01,100,bajío,1298,1629,125.5,110,8319.7,9417.1,65,66,Sneakers Product 100,Footwear,Sneakers,85.61,0.06752609,8.474576271,444.2727273,5.107243708,TRUE,URGENTE 70% OFF,1478.4,1308.088
2025-05-01,100,bajío,1405,1282,91.25,133,9552.28,11386.13,79,79,Sneakers Product 100,Footwear,Sneakers,85.61,0.10374415,9.466192171,289.1729323,7.451076443,TRUE,URGENTE 70% OFF,1172.5,-135.588
2025-06-01,100,bajío,1351,1172,86.75,130,9555.37,11129.3,77,78,Sneakers Product 100,Footwear,Sneakers,85.61,0.110921502,9.62250185,270.4615385,8.153046075,TRUE,URGENTE 70% OFF,1067.9,1203.488
2025-07-01,100,bajío,1225,1399,114.2,109,8215.53,9331.49,65,66,Sneakers Product 100,Footwear,Sneakers,85.61,0.077912795,8.897959184,385.0458716,5.872430307,TRUE,URGENTE 70% OFF,1261.96,58.472
