Month,Year,Product_id,Region,Units_expected,Stock,Percentage
March,2025,39,Bajío,1057,1735,164.14
October,2025,46,Ciudad De México,1983,3215,162.13
May,2025,113,Ciudad De México,2549,4030,158.1
February,2025,75,Ciudad De México,1388,2192,157.93
October,2025,84,Ciudad De México,1458,2298,157.61
October,2025,33,Zona Metropolitana De Monterrey,1732,2728,157.51
November,2025,66,Zona Metropolitana De Guadalajara,1225,1921,156.82
February,2025,118,Ciudad De México,1667,2613,156.75
September,2025,45,Zona Metropolitana De Monterrey,1838,2866,155.93
August,2025,94,Zona Metropolitana De Guadalajara,1257,1953,155.37
April,2025,49,Zona Metropolitana De Monterrey,1689,2617,154.94
March,2025,15,Zona Metropolitana De Monterrey,1820,2810,154.4
March,2025,15,Ciudad De México,2071,3195,154.27
August,2025,80,Zona Metropolitana De Guadalajara,980,1508,153.88
May,2025,13,Noroeste,1480,2274,153.65
September,2025,120,Ciudad De México,1311,2013,153.55
May,2025,93,Ciudad De México,1411,2161,153.15
April,2025,3,Ciudad De México,1204,1837,152.57
February,2025,4,Zona Metropolitana De Monterrey,1254,1909,152.23
April,2025,110,Ciudad De México,1964,2989,152.19
June,2025,103,Zona Metropolitana De Guadalajara,1229,1870,152.16
January,2025,1,Bajío,1354,2060,152.14
February,2025,20,Zona Metropolitana De Monterrey,2160,3285,152.08
July,2025,37,Ciudad De México,1627,2466,151.57
May,2025,6,Zona Metropolitana De Guadalajara,1097,1660,151.32
March,2025,117,Ciudad De México,1449,2191,151.21
February,2025,86,Zona Metropolitana De Monterrey,727,1099,151.17
December,2025,35,Zona Metropolitana De Monterrey,1467,2217,151.12
February,2025,85,Zona Metropolitana De Guadalajara,1440,2175,151.04
May,2025,113,Zona Metropolitana De Guadalajara,2092,3158,150.96
July,2025,72,Zona Metropolitana De Monterrey,1851,2788,150.62
February,2025,108,Ciudad De México,2106,3170,150.52
April,2025,122,Ciudad De México,834,1255,150.48
January,2025,60,Ciudad De México,977,1468,150.26
December,2025,107,Zona Metropolitana De Monterrey,2118,3180,150.14
December,2025,93,Zona Metropolitana De Monterrey,1489,2235,150.1
September,2025,25,Ciudad De México,683,1024,149.93
May,2025,93,Zona Metropolitana De Monterrey,1155,1731,149.87
October,2025,4,Zona Metropolitana De Guadalajara,1159,1737,149.87
June,2025,71,Zona Metropolitana De Monterrey,2032,3042,149.7
February,2025,77,Zona Metropolitana De Guadalajara,1301,1947,149.65
April,2025,43,Zona Metropolitana De Guadalajara,1976,2956,149.6
June,2025,76,Zona Metropolitana De Monterrey,794,1187,149.5
August,2025,67,Zona Metropolitana De Monterrey,888,1327,149.44
November,2025,110,Ciudad De México,1341,2004,149.44
July,2025,61,Zona Metropolitana De Guadalajara,1666,2489,149.4
February,2025,37,Zona Metropolitana De Guadalajara,1230,1836,149.27
June,2025,115,Bajío,1474,2198,149.12
July,2025,66,Ciudad De México,1383,2062,149.1
January,2025,124,Zona Metropolitana De Monterrey,931,1388,149.09
April,2025,114,Ciudad De México,2253,3359,149.09
January,2025,24,Zona Metropolitana De Monterrey,911,1358,149.07
May,2025,49,Zona Metropolitana De Monterrey,1631,2431,149.05
December,2025,111,Ciudad De México,1057,1575,149.01
May,2025,37,Zona Metropolitana De Monterrey,1539,2290,148.8
December,2025,49,Ciudad De México,1898,2824,148.79
January,2025,67,Zona Metropolitana De Guadalajara,888,1321,148.76
June,2025,75,Zona Metropolitana De Monterrey,1244,1850,148.71
March,2025,5,Zona Metropolitana De Monterrey,953,1416,148.58
October,2025,108,Sureste,1107,1644,148.51
March,2025,66,Ciudad De México,1745,2587,148.25
August,2025,25,Zona Metropolitana De Guadalajara,821,1217,148.23
July,2025,37,Bajío,1396,2069,148.21
November,2025,111,Zona Metropolitana De Monterrey,1220,1808,148.2
July,2025,100,Zona Metropolitana De Monterrey,1655,2451,148.1
January,2025,13,Zona Metropolitana De Monterrey,2150,3184,148.09
August,2025,33,Ciudad De México,1747,2585,147.97
March,2025,103,Ciudad De México,1237,1830,147.94
December,2025,13,Zona Metropolitana De Monterrey,2441,3611,147.93
February,2025,116,Zona Metropolitana De Monterrey,897,1326,147.83
July,2025,115,Zona Metropolitana De Monterrey,1867,2760,147.83
December,2025,108,Zona Metropolitana De Monterrey,2128,3145,147.79
April,2025,77,Ciudad De México,1491,2199,147.48
January,2025,18,Zona Metropolitana De Monterrey,2205,3252,147.48
April,2025,99,Zona Metropolitana De Guadalajara,1035,1526,147.44
August,2025,18,Ciudad De México,2034,2999,147.44
January,2025,68,Ciudad De México,2222,3275,147.39
June,2025,119,Ciudad De México,2398,3528,147.12
September,2025,30,Zona Metropolitana De Monterrey,743,1093,147.11
November,2025,29,Zona Metropolitana De Monterrey,603,886,146.93
March,2025,108,Zona Metropolitana De Guadalajara,1952,2863,146.67
January,2025,122,Zona Metropolitana De Monterrey,989,1450,146.61
June,2025,18,Zona Metropolitana De Monterrey,1993,2922,146.61
December,2025,78,Ciudad De México,1597,2341,146.59
January,2025,59,Zona Metropolitana De Monterrey,1960,2871,146.48
January,2025,130,Ciudad De México,1155,1690,146.32
April,2025,45,Bajío,1527,2233,146.23
August,2025,64,Ciudad De México,1573,2300,146.22
October,2025,87,Zona Metropolitana De Guadalajara,1837,2685,146.16
November,2025,98,Ciudad De México,2046,2989,146.09
March,2025,13,Zona Metropolitana De Guadalajara,1848,2699,146.05
March,2025,20,Ciudad De México,2038,2975,145.98
November,2025,116,Bajío,616,899,145.94
